Month,Budgeted Amount,Actual Spending,Variance,Year,Total Amount
Apr,19667,18935,-732,2022,22823.0
Jan,12138,11477,-661,2023,14637.64
Jan,11995,11612,-383,2023,14646.46
Mar,13180,15450,2270,2023,16278.96
May,8386,7254,-1132,2024,9457.78
Jul,19574,18545,-1029,2024,23393.75
May,19237,20018,781,2022,20880.75
Jun,11059,12329,1270,2023,13063.12
May,10483,9062,-1421,2024,11036.95
Mar,14356,15804,1448,2022,16306.98
Jan,8516,9460,944,2023,9501.77
Sep,10868,12899,2031,2023,11945.23
Jun,12444,12247,-197,2023,14260.49
Oct,9191,7755,-1436,2024,9833.38
Dec,12220,14042,1822,2022,15106.56
Oct,8017,10976,2959,2022,9589.96
Feb,8037,6443,-1594,2024,8710.54
Dec,9441,9269,-172,2024,10465.0
Oct,5545,5252,-293,2023,6107.37
Jul,5702,7580,1878,2023,6171.69
Jun,18281,18291,10,2023,20754.23
Jul,16911,17636,725,2022,20222.72
Dec,12572,9772,-2800,2024,14109.38
Jun,9351,6659,-2692,2022,11249.43
Apr,15498,13178,-2320,2022,17168.0
Apr,11780,9063,-2717,2022,14720.02
Dec,13980,15114,1134,2023,16612.59
Apr,11612,13501,1889,2022,13676.67
Sep,14448,16488,2040,2023,15390.66
Jul,7312,9495,2183,2022,7905.1
Aug,6486,6033,-453,2023,6967.83
Nov,12862,13496,634,2022,15915.7
Mar,10104,8023,-2081,2022,12536.21
Sep,17575,18591,1016,2023,18685.68
Sep,7354,5956,-1398,2024,8854.72
Jul,13460,11468,-1992,2024,16174.74
Nov,6771,9626,2855,2023,7475.25
May,11836,9254,-2582,2022,12851.46
Oct,15361,12862,-2499,2024,18478.98
Feb,6739,4991,-1748,2024,7530.87
Jan,18699,21161,2462,2024,21505.58
May,17003,17198,195,2023,20693.3
Jun,13902,12117,-1785,2024,16083.48
Apr,10401,11538,1137,2024,11983.57
May,10122,11892,1770,2022,11602.33
Jul,5578,4389,-1189,2023,6542.29
May,9744,11396,1652,2024,11761.98
Dec,11525,13151,1626,2022,12922.43
Aug,6906,6285,-621,2024,7378.41
Apr,14824,13719,-1105,2024,16088.19
